name,dir
rs_num,/rsid
GENCODE.Category,/genecode_comprehensive_category
GENCODE.Info,/genecode_comprehensive_info
GENCODE.EXONIC.Category,/genecode_comprehensive_exonic_category
MetaSVM,/metasvm_pred
GeneHancer,/genehancer
CAGE,/cage_tc
DHS,/rdhs
CADD,/cadd_phred
LINSIGHT,/linsight
FATHMM.XF,/fathmm_xf
aPC.EpigeneticActive,/apc_epigenetics_active
aPC.EpigeneticRepressed,/apc_epigenetics_repressed
aPC.EpigeneticTranscription,/apc_epigenetics_transcription
aPC.Conservation,/apc_conservation
aPC.LocalDiversity,/apc_local_nucleotide_diversity
aPC.Mappability,/apc_mappability
aPC.TF,/apc_transcription_factor
aPC.Protein,/apc_protein_function
